Uur;Timestamp;Druk_MPa;Druk_bar;Opslag_volume_TWh;Opslag_volume_GWh
241;2035-01-11 00:00:00;15,621086160792455;156,21086160792456;0,19193904480833243;191,93904480833243
242;2035-01-11 01:00:00;15,63373708091214;156,33737080912138;0,19219142852916574;192,19142852916573
243;2035-01-11 02:00:00;15,646400281837494;156,46400281837492;0,1924440572499991;192,4440572499991
244;2035-01-11 03:00:00;15,659039063592148;156,5903906359215;0,1926961988124991;192,69619881249912
245;2035-01-11 04:00:00;15,6716142944749;156,71614294474898;0,19294707254583243;192,94707254583244
246;2035-01-11 05:00:00;15,68410413511967;156,8410413511967;0,19319624275833244;193,19624275833243
247;2035-01-11 06:00:00;15,696427161487449;156,9642716148745;0,19344208505416574;193,44208505416574
248;2035-01-11 07:00:00;15,708273958261717;157,08273958261717;0,1936784266499991;193,6784266499991
249;2035-01-11 08:00:00;15,719989395737361;157,1998939573736;0,1939121476499991;193,9121476499991
250;2035-01-11 09:00:00;15,731450085234572;157,31450085234573;0,19414078647083244;194,14078647083244
251;2035-01-11 10:00:00;15,742096477532527;157,42096477532527;0,19435318019999911;194,35318019999912
252;2035-01-11 11:00:00;15,75209976956853;157,52099769568528;0,1945527441874991;194,5527441874991
253;2035-01-11 12:00:00;15,761409131129684;157,61409131129685;0,19473846437916575;194,73846437916575
254;2035-01-11 13:00:00;15,770604864327542;157,7060486432754;0,19492191770416575;194,92191770416576
255;2035-01-11 14:00:00;15,77910718794051;157,79107187940508;0,1950915376249991;195,0915376249991
256;2035-01-11 15:00:00;15,779877210120185;157,79877210120185;0,19510689943749907;195,10689943749907
257;2035-01-11 16:00:00;15,779618279357821;157,79618279357823;0,19510173381249907;195,10173381249908
258;2035-01-11 17:00:00;15,780193539237896;157,80193539237897;0,19511321014999905;195,11321014999905
259;2035-01-11 18:00:00;15,786839770077925;157,86839770077927;0,19524580133333239;195,2458013333324
260;2035-01-11 19:00:00;15,797275394510608;157,9727539451061;0,19545399027916574;195,45399027916574
261;2035-01-11 20:00:00;15,809207756336367;158,09207756336366;0,1956920388833324;195,6920388833324
262;2035-01-11 21:00:00;15,821569395395109;158,21569395395107;0,19593865149583237;195,93865149583237
263;2035-01-11 22:00:00;15,8340702315381;158,340702315381;0,19618804106666574;196,18804106666573
264;2035-01-11 23:00:00;15,846717299494863;158,4671729949486;0,19644034793749907;196,44034793749907
265;2035-01-12 00:00:00;15,859231747490703;158,59231747490702;0,19669000906249903;196,69000906249903
266;2035-01-12 01:00:00;15,871846602768887;158,71846602768886;0,19694167329583237;196,94167329583237
267;2035-01-12 02:00:00;15,88453454283423;158,84534542834228;0,1971947955583324;197,19479555833237
268;2035-01-12 03:00:00;15,897217304075467;158,97217304075465;0,1974478145041657;197,4478145041657
269;2035-01-12 04:00:00;15,909849162421496;159,09849162421497;0,19769981794583236;197,69981794583236
270;2035-01-12 05:00:00;15,922379241710837;159,22379241710837;0,197949790912499;197,949790912499
271;2035-01-12 06:00:00;15,934706519158864;159,34706519158863;0,1981957180166657;198,1957180166657
272;2035-01-12 07:00:00;15,946615943238324;159,46615943238325;0,1984333090166657;198,4333090166657
273;2035-01-12 08:00:00;15,958573723616675;159,58573723616675;0,19867186471666573;198,67186471666574
274;2035-01-12 09:00:00;15,970492278725777;159,70492278725777;0,1989096378791657;198,9096378791657
275;2035-01-12 10:00:00;15,982307321889676;159,82307321889675;0,19914534599583236;199,14534599583237
276;2035-01-12 11:00:00;15,994132971659614;159,94132971659613;0,19938126571249903;199,38126571249904
277;2035-01-12 12:00:00;16,005954097790607;160,05954097790607;0,19961709518333237;199,61709518333237
278;2035-01-12 13:00:00;16,017791641771463;160,17791641771464;0,19985325218749905;199,85325218749907
279;2035-01-12 14:00:00;16,029676488575294;160,29676488575294;0,20009035287499907;200,09035287499907
280;2035-01-12 15:00:00;16,041629654044083;160,41629654044084;0,20032881650833237;200,32881650833238
281;2035-01-12 16:00:00;16,05363710046507;160,5363710046507;0,20056836303749903;200,56836303749904
282;2035-01-12 17:00:00;16,065661484999303;160,65661484999305;0,2008082474791657;200,80824747916571
283;2035-01-12 18:00:00;16,077717363534354;160,77717363534356;0,20104876022083237;201,04876022083238
284;2035-01-12 19:00:00;16,08966945338836;160,8966945338836;0,20128720239583234;201,28720239583234
285;2035-01-12 20:00:00;16,101297336238453;161,0129733623845;0,20151917669583233;201,51917669583233
286;2035-01-12 21:00:00;16,112868400103174;161,12868400103173;0,20175001746666568;201,7500174666657
287;2035-01-12 22:00:00;16,12469364907607;161,24693649076073;0,20198592918749902;201,98592918749904
