Time (days), Pressure (MPa), Temperature (K)
2.739087279083711906e+02,1.717619611247008393e+01,3.242136063393356267e+02
2.750525778224946407e+02,1.760616621513804603e+01,3.255336899878776080e+02
2.754925200971574668e+02,1.801222020568663140e+01,3.267803469764039619e+02
2.759324623718202929e+02,1.834704577535793746e+01,3.278083202166228602e+02
2.767634644461834910e+02,1.885482989499402606e+01,3.293673065488389398e+02
2.787370943727959229e+02,1.935243233646335170e+01,3.308950333428236945e+02
2.787920871571288330e+02,1.983703689091127131e+01,3.323828543433216964e+02
2.809917985304430204e+02,1.873178323119142519e+01,3.289895317038309486e+02
2.817774097351981482e+02,1.814947789263263189e+01,3.272017521556241491e+02
2.831915099037572645e+02,1.761448486283174475e+01,3.255592296957091207e+02
2.845113367277457996e+02,1.646495173465898887e+01,3.220299613197401527e+02
2.845113367277457996e+02,1.673010862989558234e+01,3.228440395068700468e+02
2.848570056578380445e+02,1.717575047062934956e+01,3.242122381407017997e+02
2.873709615130542829e+02,1.722922749151740263e+01,3.243764219767616055e+02
2.884708171997114050e+02,1.756587276537170084e+01,3.254099820280686686e+02
2.911654636320213285e+02,1.826255950971882669e+01,3.275489325589589953e+02
2.916903947551986107e+02,1.919025415521904421e+01,3.303971178740912364e+02
2.918681492096077932e+02,1.866766032188584390e+01,3.287926631226296763e+02
2.942214912185185653e+02,1.779875776397515708e+01,3.261249798307986225e+02
2.944100379076598415e+02,1.818067282148399855e+01,3.272975260599924354e+02
2.947399946136569611e+02,1.735790657302927542e+01,3.247714893322805665e+02
2.955098935943169067e+02,1.696667017368508823e+01,3.235703249483291302e+02
2.962955047990720345e+02,1.639364904014158597e+01,3.218110495383271541e+02
2.970496915556369117e+02,1.589319325299756258e+01,3.202745624725341145e+02
2.975776222852323372e+02,1.546671401141534830e+01,3.189651963799571490e+02
2.981055530148277057e+02,1.506741892211789136e+01,3.177392904040439134e+02
3.004592441842739277e+02,1.459845515838572183e+01,3.162994893750416168e+02
3.018303976069731789e+02,1.427350798285068123e+01,3.153018445378726256e+02
3.043820628000176498e+02,1.394162860090422740e+01,3.142829166108440404e+02
3.054085947742309486e+02,1.454906318770439455e+01,3.161478473597919105e+02
3.058485370488937747e+02,1.493328072805702611e+01,3.173274626152605151e+02
